# d/R, 10^3*phi
1.000000000000000056e-01,8.318753281109962927e+01
1.047615752789664845e-01,8.031543544882050867e+01
1.097498765493056111e-01,7.751388432801073236e+01
1.149756995397735598e-01,7.478165239660482655e+01
1.204503540258782118e-01,7.211754474539129944e+01
1.261856883066020396e-01,6.952039728456614398e+01
1.321941148466029003e-01,6.698907545437576516e+01
1.384886371393873050e-01,6.452247296386457265e+01
1.450828778495939775e-01,6.211951055266675326e+01
1.519911082952933867e-01,5.977913477158182332e+01
1.592282793341092406e-01,5.750031677842472533e+01
1.668100537200058742e-01,5.528205114641478701e+01
1.747528400007683780e-01,5.312335468293714769e+01
1.830738280295368392e-01,5.102326525719589512e+01
1.917910261672488847e-01,4.898084063574451363e+01
2.009233002565046777e-01,4.699515732537639678e+01
2.104904144512020903e-01,4.506530942328819123e+01
2.205130739903045645e-01,4.319040747473722064e+01
2.310129700083159709e-01,4.136957733875679111e+01
2.420128264794381978e-01,3.960195906269854049e+01
2.535364493970111988e-01,3.788670576656310374e+01
2.656087782946686682e-01,3.622298253826045311e+01
2.782559402207124277e-01,3.460996534099377442e+01
2.915053062825176955e-01,3.304683993410657195e+01
3.053855508833415167e-01,3.153280080873838997e+01
3.199267137797383587e-01,3.006705013973921936e+01
3.351602650938842465e-01,2.864879675531409831e+01
3.511191734215131643e-01,2.727725512593104895e+01
3.678379771828634293e-01,2.595164437412187652e+01
3.853528593710529582e-01,2.467118730686880568e+01
4.037017258596555247e-01,2.343510947240929099e+01
4.229242874389499418e-01,2.224263824342827789e+01
4.430621457583880929e-01,2.109300192878796665e+01
4.641588833612779741e-01,1.998542891614957639e+01
4.862601580065354923e-01,1.891914684807276359e+01
5.094138014816380622e-01,1.789338183449111241e+01
5.336699231206309957e-01,1.690735770466899979e+01
5.590810182512223614e-01,1.596029530216784131e+01
5.857020818056667411e-01,1.505141182659074062e+01
6.135907273413173657e-01,1.417992022628342141e+01
6.428073117284323068e-01,1.334502864647738996e+01
6.734150657750823665e-01,1.254593993773847416e+01
7.054802310718644165e-01,1.178185122989924061e+01
7.390722033525779500e-01,1.105195357698807079e+01
7.742636826811272188e-01,1.035543167889466076e+01
8.111308307896872849e-01,9.691463685796387395e+00
8.497534359086443834e-01,9.059221091431094663e+00
8.902150854450388007e-01,8.457868721374049770e+00
9.326033468832199969e-01,7.886564822373396844e+00
9.770099572992253512e-01,7.344461258536435722e+00
1.023531021899026339e+00,6.830703819714759817e+00
1.072267222010323762e+00,6.344432646843648271e+00
1.123324032978027631e+00,5.884782778091278033e+00
1.176811952434998476e+00,5.450884818637229401e+00
1.232846739442066575e+00,5.041865735600881138e+00
1.291549665014883885e+00,4.656849778110082383e+00
1.353047774579807516e+00,4.294959520817406506e+00
1.417474162926805503e+00,3.955317027296587629e+00
1.484968262254465099e+00,3.637045127716992177e+00
1.555676143930472044e+00,3.339268803163210286e+00
1.629750834620644406e+00,3.061116666779569950e+00
1.707352647470691487e+00,2.801722529880144474e+00
1.788649529057435128e+00,2.560227039133042837e+00
1.873817422860385218e+00,2.335779369089688640e+00
1.963040650040271506e+00,2.127538952674272732e+00
2.056512308348651619e+00,1.934677230926988845e+00
2.154434690031884259e+00,1.756379402212638441e+00
2.257019719633920563e+00,1.591846150498900991e+00
2.364489412645408350e+00,1.440295332025705699e+00
2.477076355991711498e+00,1.300963599874607857e+00
2.595024211399737268e+00,1.173107946586199768e+00
2.718588242732941307e+00,1.056007145998011820e+00
2.848035868435801810e+00,9.489630769724057835e-01
2.983647240283340274e+00,8.513019134948827116e-01
3.125715849688236680e+00,7.623751678175476609e-01
3.274549162877729902e+00,6.815605757654649155e-01
3.430469286314918875e+00,6.082628159465601758e-01
3.593813663804627634e+00,5.419140574248907383e-01
3.764935806792469197e+00,4.819743331987519919e-01
3.944206059437656009e+00,4.279317396876698432e-01
4.132012400115338657e+00,3.793024651068841457e-01
4.328761281083059131e+00,3.356306521877424065e-01
4.534878508128584507e+00,2.964881030380306370e-01
4.750810162102798273e+00,2.614738359826804803e-01
4.977023564332111683e+00,2.302135060028644986e-01
5.214008287999686964e+00,2.023587018118886138e-01
5.462277217684342823e+00,1.775861336618545783e-01
5.722367659350219959e+00,1.555967267269418308e-01
5.994842503189412142e+00,1.361146352647079893e-01
6.280291441834256361e+00,1.188861928227031295e-01
6.579332246575682497e+00,1.036788135114231207e-01
6.892612104349698399e+00,9.027985883584790927e-02
7.220809018385467404e+00,7.849548387086945078e-02
7.564633275546290392e+00,6.814947558572644060e-02
7.924828983539176974e+00,5.908209507606114463e-02
8.302175681319749145e+00,5.114893425876387845e-02
8.697490026177835176e+00,4.421979632345302696e-02
9.111627561154895361e+00,3.817760794633103666e-02
9.545484566618343436e+00,3.291736999266265534e-02
1.000000000000000000e+01,2.834515215858882803e-02
