# d (m), DeltaF/(kB T)
3.700000000000000458e-09,2.042635073067529916e+01
3.864646464646465238e-09,1.815546244404088227e+01
4.029292929292929604e-09,1.619716423563007268e+01
4.193939393939394797e-09,1.450005516164145369e+01
4.358585858585859163e-09,1.302254970273949297e+01
4.523232323232324357e-09,1.173074990702024145e+01
4.687878787878788723e-09,1.059683172133219031e+01
4.852525252525252262e-09,9.597809051195577368e+00
5.017171717171717455e-09,8.714578384586086912e+00
5.181818181818181821e-09,7.931173953414641709e+00
5.346464646464647015e-09,7.234182395626188367e+00
5.511111111111111381e-09,6.612279330360779639e+00
5.675757575757575747e-09,6.055859892649312570e+00
5.840404040404040940e-09,5.556742248546019169e+00
6.005050505050505306e-09,5.107928210830952054e+00
6.169696969696970500e-09,4.703408838251683655e+00
6.334343434343434866e-09,4.338005702435785871e+00
6.498989898989900059e-09,4.007240608970239037e+00
6.663636363636364425e-09,3.707228149407360895e+00
6.828282828282828792e-09,3.434586672572033095e+00
6.992929292929293985e-09,3.186364193201071782e+00
7.157575757575758351e-09,2.959976473965154398e+00
7.322222222222223545e-09,2.753155074857627227e+00
7.486868686868688738e-09,2.563903600144326500e+00
7.651515151515153104e-09,2.390460716029954469e+00
7.816161616161615816e-09,2.231268783253541610e+00
7.980808080808081836e-09,2.084947164193588165e+00
8.145454545454544548e-09,1.950269436000519718e+00
8.310101010101012223e-09,1.826143879242934753e+00
8.474747474747474935e-09,1.711596722642128476e+00
8.639393939393940955e-09,1.605757714437431316e+00
8.804040404040403667e-09,1.507847663991489284e+00
8.968686868686869688e-09,1.417167656870895964e+00
9.133333333333334054e-09,1.333089695431127764e+00
9.297979797979800074e-09,1.255048557099865292e+00
9.462626262626262786e-09,1.182534695598787877e+00
9.627272727272728807e-09,1.115088037765855633e+00
9.791919191919191518e-09,1.052292551362761452e+00
9.956565656565659193e-09,9.937714781781347151e-01
1.012121212121212191e-08,9.391831425977124059e-01
1.028585858585858793e-08,8.882172590010493085e-01
1.045050505050505064e-08,8.405916725607236462e-01
1.061515151515151666e-08,7.960494773296343807e-01
1.077979797979798102e-08,7.543564634836825711e-01
1.094444444444444539e-08,7.152988522575473018e-01
1.110909090909090976e-08,6.786812828463957281e-01
1.127373737373737412e-08,6.443250203647926666e-01
1.143838383838384014e-08,6.120663581225344041e-01
1.160303030303030451e-08,5.817551909681158984e-01
1.176767676767676888e-08,5.532537395450891626e-01
1.193232323232323159e-08,5.264354078417603500e-01
1.209696969696969761e-08,5.011837587066981792e-01
1.226161616161616197e-08,4.773915938943167347e-01
1.242626262626262799e-08,4.549601268949575172e-01
1.259090909090909071e-08,4.337982382442081564e-01
1.275555555555555673e-08,4.138218042398864038e-01
1.292020202020201944e-08,3.949530911040344261e-01
1.308484848484848711e-08,3.771202075572487877e-01
1.324949494949494983e-08,3.602566095988927186e-01
1.341414141414141585e-08,3.443006520247064994e-01
1.357878787878787856e-08,3.291951818026064847e-01
1.374343434343434623e-08,3.148871690161313408e-01
1.390808080808080894e-08,3.013273715535245145e-01
1.407272727272727496e-08,2.884700301442715276e-01
1.423737373737373768e-08,2.762725907104379708e-01
1.440202020202020370e-08,2.646954513554929944e-01
1.456666666666666806e-08,2.537017315633880998e-01
1.473131313131313408e-08,2.432570614790041941e-01
1.489595959595959680e-08,2.333293893363161120e-01
1.506060606060606282e-08,2.238888053218920926e-01
1.522525252525252553e-08,2.149073803113771552e-01
1.538989898989899155e-08,2.063590181297246251e-01
1.555454545454545426e-08,1.982193200463413796e-01
1.571919191919192359e-08,1.904654604282602082e-01
1.588383838383838630e-08,1.830760725093805441e-01
1.604848484848485232e-08,1.760311433930633329e-01
1.621313131313131503e-08,1.693119174469008559e-01
1.637777777777778105e-08,1.629008073748723640e-01
1.654242424242424377e-08,1.567813122711008145e-01
1.670707070707070979e-08,1.509379420649368253e-01
1.687171717171717250e-08,1.453561478147649688e-01
1.703636363636363521e-08,1.400222573362582823e-01
1.720101010101010123e-08,1.349234157302717785e-01
1.736565656565656725e-08,1.300475303920422543e-01
1.753030303030303327e-08,1.253832201321600504e-01
1.769494949494949598e-08,1.209197680756791543e-01
1.785959595959596200e-08,1.166470780199281160e-01
1.802424242424242472e-08,1.125556339869257794e-01
1.818888888888889074e-08,1.086364626958574442e-01
1.835353535353535345e-08,1.048810987421460034e-01
1.851818181818181947e-08,1.012815522491189724e-01
1.868282828282828218e-08,9.783027881610048548e-02
1.884747474747475151e-08,9.452015157476693907e-02
1.901212121212121422e-08,9.134443519268940770e-02
1.917676767676768024e-08,8.829676167131901565e-02
1.934141414141414295e-08,8.537110781432502571e-02
1.950606060606060897e-08,8.256177422285235212e-02
1.967070707070707169e-08,7.986336571678025187e-02
1.983535353535353440e-08,7.727077307029232844e-02
2.000000000000000042e-08,7.477915596329190451e-02
